Key,Smiles,Exp_HOMO,Exp_LUMO,Calc_HOMO,Calc_LUMO,,,,,,,,
c7,CN(C1=O)C(C2C=C(OC)C3=C(C2=C1C=C4)C4=C5C6=C3C=CC7=C6C(C(N(C)C7=O)=O)=CC5C8=CC9=C(C%10=CC=C(C)S%10)C%11=C(C=C(C(C=C%12C(N(C)C%13=O)=O)C%14=C%15C(C%16=C%17C=C%15)=C(C(OC)=CC%16C(N(C)C%17=O)=O)C%18=C%14C%12=C%13C=C%18)S%11)C(C%19=CC=C(C)S%19)=C9S8)=O,-0.201389144096138,-0.141119400242549,-0.2023,-0.1123,,,,,,,,
c9,O=C(C1=C2C3=C(C=CC24)C5=C(C6=C7C=C5)C(CC=C6C(N(C(C)C)C7=O)=O)=C3C(C8=CC=CC9=C8C(C(C%10=CC(C(N(C(C)C)C%11=O)=O)C%12=C%11C=CC%13=C(CC=C%14C(N(C(C)C)C%15=O)=O)C(C%14=C%15C=C%16)=C%16C%10=C%13%12)=CC=C%17)=C%17C%189C%19=CC=CC=C%19C%20=CC=CC=C%20%18)=C1)N(C(C)C)C4=O,-0.209841608173165,-0.136341920546838,-0.2077,-0.1127,,,,,,,,
c10,O=C(C1=C2C3=C(C(C(C=C4C(N(C(C)C)C5=O)=O)C6=C7C(C8=C9C=C7)=C(C=CC8C(N(C(C)C)C9=O)=O)C%10=C6C4=C5C=C%10)=CC2%11)C%12=C(C%13=C%14C=C%12)C(CC=C%13C(N(C(C)C)C%14=O)=O)=C3C=C1)N(C(C)C)C%11=O,-0.218294072250193,-0.141119400242549,-0.2100,-0.1215,,,,,,,,
c14,O=C(C1=C2C(C(C3=C4C(C5C6=C7C=CC(C(N(C(C)C)C8=O)=O)C6=C8C=C5)=C7C9=C3C%10=C%11C9C=CC%12=C%11C(C(N(C(C)C)C%12=O)=O)C=C%10)C=C1)=C4C=CC2%13)N(C(C)C)C%13=O,-0.213516592554482,-0.132666936165521,-0.2120,-0.1128,,,,,,,,
d1,O=C1C(C2=C(C3=CC=C(S3)C4=CC=C(C(F)(F)F)C=C4)N1C)=C(C5=CC=C(S5)C6=CC=C(C(F)(F)F)C=C6)N(C)C2=O,-0.193304178457242,-0.129359450222337,-0.1940,-0.1184,,,,,,,,
d2,O=C1C(C2=C(C3=CC=C(S3)C=O)N1C)=C(C4=CC=C(S4)C=O)N(C)C2=O,-0.216824078497666,-0.15030686119584,-0.2100,-0.1337,,,,,,,,
d10,O=C1N(C)C(C(C1=C2C3=CC=CC4=C3C=CC=C4)=C(C5=C(C=CC=C6)C6=CC=C5)C7=C2C8=C9C(C=CC=C97)=C(C#N)C=C8)=O,-0.224909044136562,-0.126051964279152,-0.2296,-0.1170,,,,,,,,
PDI 2,CC(S1)=CC=C1C2=C3C(C=C(C4=CC5=C6C7=C4C8=CC=C(C(N(C)C9=O)=O)C%10=C9C=C(C%11=CC%12=C(C%13=CC=C(C)S%13)C%14=C(C=CS%14)C(C%15=CC=C(C)S%15)=C%12S%11)C(C7=CC=C6C(N(C)C5=O)=O)=C8%10)S3)=C(C%16=CC=C(C)S%16)C%17=C2C=CS%17,-0.204696630039322,-0.145161883061997,-0.1959,-0.1328,,,,,,,,
PDI 4,O=C(C(C(C1=CC=CC=C1)=C2)=C3C4=C2C5=CC(C6=CC=CC=C6)=C(C(N(C)C7=O)=O)C8=C7C(C9=CC=CC=C9)=CC(C4=CC(C%10=CC=CC=C%10)=C3%11)=C58)N(C)C%11=O,-0.221234059755246,-0.147366873690787,-0.2232,-0.1330,,,,,,,,
PDI 6c,O=C(C(C=C1)=C2C3=C1C4=CC=C(C(N(C)C5=O)=O)C6=C5C=CC(C3=C(C7=CC=C(C8=CC9=C%10C%11=C8C%12=CC=C(C(N(C)C%13=O)=O)C%14=C%13C=CC(C%11=CC=C%10C(N(C)C9=O)=O)=C%12%14)S7)C=C2%15)=C46)N(C)C%15=O,-0.207636617544375,-0.141119400242549,-0.2221,-0.1421,,,,,,,,
