SMILES,HOMO,LUMO,RedoxPotential,Inchi-Key
n1ccc2c(c1)c1ccc3c4c1c1c2c2ccncc2c2c1c1c4c(c4c3cncc4)c3c(c1c1c2cccc1)cncc3,-6.20828091,-2.628893354,1.62,APA_d
c1cc2c(s1)c1c3c4c2ccc2c4c4c5c3c(c3c1scc3)ccc5c1c(c4c3c2ccs3)scc1,-5.742421742,-2.083304784,0.94,PIY_d
Fc1cc(F)c2c(c1)c1c3c4c2ccc2c4c4c5c3c(c3c1cc(F)cc3F)ccc5c1c(c4c3c2c(F)cc(c3)F)cc(cc1F)F,-5.98378686,-2.566851362,,OZL_d
c1ccc2c(c1)c1c3ncsc3c3c4c1c1c2c2ncsc2c2c1c1c4c(c4c3scn4)ccc1c1c2scn1,-5.997120446,-2.23677708,1.15,RSY_d
c1ccc2c(c1)[nH]c1c2c2ccc3c4c2c2c1c1[nH]c5c(c1c1c2c2c4c(c4c3c3ccccc3[nH]4)c3c(c2cc1)c1c([nH]3)cccc1)cccc5,-5.435749264,-2.150516942,0.62,RQE_d
Clc1c(Cl)cc2c(c1Cl)c1ccc3c4c1c1c2c2cc(Cl)c(c(c2c2c1c1c4c(c4c3c(Cl)c(Cl)c(c4)Cl)c3c(c1c1c2cccc1)c(Cl)c(c(c3)Cl)Cl)Cl)Cl,-6.139163954,-2.70073145,1.27,CQT_d
c1ccc2c(n1)c1ccc3c4c1c1c2c2cccnc2c2c1c1c4c(c4c3nccc4)c3c(c1c1c2cccc1)nccc3,-6.034672178,-2.335826576,1.16,AZQ_d
Clc1ccc2c(c1)c1ccc3c4c1c1c2c2ccc(cc2c2c1c1c4c(c4c3cc(Cl)cc4)c3c(c1c1c2cccc1)cc(cc3)Cl)Cl,-5.890723872,-2.29119988,1.07,PQH_d
Fc1c(F)c(F)c2c(c1F)c1c3c4c2c2ncccc2c2c4c4c5c3c(c3c1nccc3)c1cccnc1c5c1c(c4c3c2cccn3)c(F)c(c(c1F)F)F,-6.308146748,-2.619641478,1.49,RHM
Fc1c(F)c(F)c2c(c1F)c1c3c4c2c2cnccc2c2c4c4c5c3c(c3c1cncc3)c1ccncc1c5c1c(c4c3c2ccnc3)c(F)c(c(c1F)F)F,-6.37018874,-2.852298948,,DKF
